,0
0,"
1.
M: Eine Stadt sucht einen Mörder
(1931)
"
1,"
2.
Citizen Kane
(1941)
"
2,"
3.
Du sollst mein Glücksstern sein
(1952)
"
3,"
4.
Vertigo - Aus dem Reich der Toten
(1958)
"
4,"
5.
Der unsichtbare Dritte
(1959)
"
5,"
6.
2001: Odyssee im Weltraum
(1968)
"
6,"
7.
Das Boot
(1981)
"
7,"
8.
Die Rückkehr der Jedi-Ritter
(1983)
"
8,"
9.
Amadeus
(1984)
"
9,"
10.
Aliens - Die Rückkehr
(1986)
"
10,"
11.
Komm und sieh'
(1985)
"
11,"
12.
Reservoir Dogs: Wilde Hunde
(1992)
"
12,"
13.
Braveheart
(1995)
"
13,"
14.
Toy Story
(1995)
"
14,"
15.
Good Will Hunting: Der gute Will Hunting
(1997)
"
15,"
16.
American Beauty
(1999)
"
16,"
17.
Requiem for a Dream
(2000)
"
17,"
18.
Vergiss mein nicht
(2004)
"
18,"
19.
Inglourious Basterds
(2009)
"
19,"
20.
Die Jagd
(2012)
"
20,"
21.
Der große Diktator
(1940)
"
21,"
22.
Boulevard der Dämmerung
(1950)
"
22,"
23.
Wege zum Ruhm
(1957)
"
23,"
24.
Zeugin der Anklage
(1957)
"
24,"
25.
Dr. Seltsam oder: Wie ich lernte, die Bombe zu lieben
(1964)
"
25,"
26.
Zwischen Himmel und Hölle
(1963)
"
26,"
27.
Alien - Das unheimliche Wesen aus einer fremden Welt
(1979)
"
27,"
28.
Apocalypse Now
(1979)
"
28,"
29.
Shining
(1980)
"
29,"
30.
Jäger des verlorenen Schatzes
(1981)
"
30,"
31.
Es war einmal in Amerika
(1984)
"
31,"
32.
Prinzessin Mononoke
(1997)
"
32,"
33.
Memento
(2000)
"
33,"
34.
Oldboy
(2003)
"
34,"
35.
Das Leben der Anderen
(2006)
"
35,"
36.
WALL·E: Der Letzte räumt die Erde auf
(2008)
"
36,"
37.
Taare Zameen Par: Ein Stern auf Erden
(2007)
"
37,"
38.
3 Idiots
(2009)
"
38,"
39.
The Dark Knight Rises
(2012)
"
39,"
40.
Django Unchained
(2012)
"
40,"
41.
Coco: Lebendiger als das Leben
(I) (2017)
"
41,"
42.
Avengers: Infinity War
(2018)
"
42,"
43.
Avengers: Endgame
(2019)
"
43,"
44.
Spider-Man: A New Universe
(2018)
"
44,"
45.
Your Name.
(2016)
"
45,"
46.
Joker
(2019)
"
46,"
47.
Capernaum: Stadt der Hoffnung
(2018)
"
47,"
48.
Lichter der Großstadt - Eine Komödien-Romance als Pantomime
(1931)
"
48,"
49.
Moderne Zeiten
(1936)
"
49,"
50.
Casablanca
(1942)
"
50,Recently Viewed
